WKT;ID;NOMBRE;CALLE1;CALLE2;INTERSEC;INAUGURA;LIN_SENT_N;LIN_SENT_S;METROBUS
POINT (-58.478081472355278 -34.690053800220106);65;José L. Suárez;FERNANDEZ DE LA CRUZ AV;;Entre Saladillo y José León Suárez;si;36 - 143;36 - 143;Metrobus Sur - Ramal Fernández de la Cruz
POINT (-58.461808971066944 -34.704519695595486);66;Puente La Noria;;;;si;;;Metrobus Sur
POINT (-58.469764439913746 -34.697795350077044);67;Gral Paz;ROCA CNEL AV;;Roca Cnel y Gral Paz;si;91 - 101 - 114 - 117 - 141;91 - 101 - 114 - 117 - 141;Metrobus Sur - Ramal Coronel Roca
POINT (-58.467391622760587 -34.695622443771668);68;Guaminí;ROCA CNEL AV;;Entre Guaminí y Montiel;si;91 - 101 - 114 - 117 - 141;91 - 101 - 114 - 117 - 141;Metrobus Sur - Ramal Coronel Roca
POINT (-58.466333677660003 -34.694651871845352);69;Piedrabuena;ROCA CNEL AV;;Entre Piedrabuena y Guaminí;si;91 - 101 - 114 - 117;91 - 101 - 114 - 117;Metrobus Sur - Ramal Coronel Roca
POINT (-58.463570056554786 -34.692141209765929);70;Lisandro de la Torre;ROCA CNEL AV;;Entre Lisandro de la Torre y Timoteo Gordillo;si;47 - 91 - 114 - 117 -150;47 - 91 - 114 - 117;Metrobus Sur - Ramal Coronel Roca
POINT (-58.457429218439401 -34.686137182448178);71;Larrazábal;ROCA CNEL AV;;Entre Pasaje Roca y Larrazábal;si;;91 - 115;Metrobus Sur - Ramal Coronel Roca
POINT (-58.453087788369096 -34.682502523494392);72;Escalada;ROCA CNEL AV;;Entre Escalada y Pasaje Roca;si;91 - 115;91 - 115;Metrobus Sur - Ramal Coronel Roca
POINT (-58.4481350991623 -34.676354221620102);73;Estadio Parque Roca;ROCA CNEL AV;;Entre Escalada y Lacarra;si;91 - 115;91 - 115;Metrobus Sur - Ramal Coronel Roca
POINT (-58.445391865620181 -34.672011967967769);74;Parque Roca;ROCA CNEL AV;;Entre Escalada y Lacarra;si;91 - 115;91 - 115;Metrobus Sur - Ramal Coronel Roca
POINT (-58.440416957373451 -34.666458909393093);75;Mariano Acosta;ROCA CNEL AV;;Entre Pergamino y Mariano Acosta;si;91 - 115;91 - 115;Metrobus Sur - Ramal Coronel Roca
POINT (-58.442346502844686 -34.668188321968366);76;Lacarra;ROCA CNEL AV;;Entre Mariano Acosta y Lacarra;si;91 - 115;91 - 115;Metrobus Sur - Ramal Coronel Roca
POINT (-58.437150966263893 -34.663396169033163);77;Lafuente;RABANAL AV;;Entre San Pedrito y José Martí;si;;91 - 115;Metrobus Sur - Ramal Coronel Roca
POINT (-58.43301344309652 -34.661499053240021);78;Varela;RABANAL AV;;Entre Varela y Culpina;si;;76 - 91 - 115;Metrobus Sur - Ramal Coronel Roca
POINT (-58.429548725573895 -34.659918700662395);79;Berg;RABANAL AV;;Entre Berg y Rivera Indarte;si;;76 - 91 - 115;Metrobus Sur - Ramal Coronel Roca
POINT (-58.426359333723909 -34.658503088965823);80;Bonorino;RABANAL AV;;Entre Bonorino Esteban y Charrúa;si;;76 - 91 - 115;Metrobus Sur - Ramal Coronel Roca
POINT (-58.421812350289251 -34.656305421841196);81;Vedia;RABANAL AV;;Rabanal y Vedia Agustín;si;;76 - 91 - 115;Metrobus Sur - Ramal Coronel Roca
